,address,staker_reward_per_user,staker_reward_per_stake,staker_reward,used_staker_balance,total_reward
0,0xccBcC956adee7896BC6c5aa87a6d09383edAcd55,323.5294117647059,53242.64031526607,53566.16972703078,17093621.68430811,53566.16972703078
1,0xA842B1bd65c1F70cb5d4d3FC9937884b41BF8FB5,323.5294117647059,10049.815940023336,10373.345351788043,3226507.0,10373.345351788043
2,0x4DfA40d7a1cCb588985Cf077e6022D33DF8A6d4F,323.5294117647059,5888.939435653786,6212.468847418492,1890651.97065379,6212.468847418492
3,0x5cE9e731311a6b9A9BF26efB5Ff425750FEAcC13,323.5294117647059,4483.520657694645,4807.050069459351,1439440.37115,4807.050069459351
4,0x672E1AcF64DE8836341ba7c2d7d0007ed854037F,323.5294117647059,3729.9379939524556,4053.4674057171615,1197501.63772906,4053.4674057171615
5,0xa959daa257987dC22e8329d52d95865e3947B419,323.5294117647059,3592.8715971650245,3916.4010089297303,1153496.28565707,3916.4010089297303
6,0xD4853c379b2A94EDbEf4e8371B60CCc21a2DA98e,323.5294117647059,3445.656852309041,3769.1862640737468,1106232.79271195,3769.1862640737468
7,0x25798c95AD7A6c4C95757789639353DA77ded5E7,323.5294117647059,3167.3818270878646,3490.9112388525705,1016892.21949552,3490.9112388525705
8,0xB9b14C4d0cbc18FC5f54701D578e85968cf19FD5,323.5294117647059,3160.425034867452,3483.9544466321577,1014658.73194404,3483.9544466321577
9,0xDC8f3430e118a08bc3E945710BF372abbB3eed0d,323.5294117647059,3160.264675341918,3483.794087106624,1014607.24830148,3483.794087106624
10,0x1754d7ff3B96D305FA55240906A042AD942faDCa,323.5294117647059,3154.180113974584,3477.70952573929,1012653.79164508,3477.70952573929
11,0xF4DBFa9B4bFA90dE30fA22efa301042f6128593a,323.5294117647059,3121.5869510507114,3445.1163628154172,1002189.71260586,3445.1163628154172
12,0xD0914e388C76aBB705627D6D1119b3993F45e072,323.5294117647059,3121.424636969606,3444.954048734312,1002137.60145059,3444.954048734312
13,0xa9531D3B5483bef6FaE3B4Be62Ccd83697aB92b1,323.5294117647059,3114.766507564786,3438.295919329492,1000000.0,3438.295919329492
14,0x0e05Fc644943Aae89DD3FEc282C3f86431A7D090,323.5294117647059,3114.766507564786,3438.295919329492,1000000.0,3438.295919329492
15,0x7a9858092d524Ee265ed120E5669719D4b66f624,323.5294117647059,2673.032994644364,2996.56240640907,858180.85822883,2996.56240640907
16,0x3f05CC197c18244726cf2028570CdBc163c2cf83,323.5294117647059,2569.3117786157845,2892.8411903804904,824881.02153909,2892.8411903804904
